"Installed renewable electricity capacity (MW) by Region/country/area, Technology and Year"

"Region/country/area","Technology","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022"
"Comoros","Wind",0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
"Comoros","Onshore wind energy",0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
"Comoros","Offshore wind energy",0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
"Comoros","Solar photovoltaic",0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,4.000
"Democratic Republic of the Congo","Wind",0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
"Democratic Republic of the Congo","Onshore wind energy",0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
"Democratic Republic of the Congo","Offshore wind energy",0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
"Democratic Republic of the Congo","Solar photovoltaic",0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.023,0.087,0.389,0.608,0.672,3.170,5.225,19.844,19.844,19.844,19.844,19.844
"Congo","Wind",0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
"Congo","Onshore wind energy",0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
"Congo","Offshore wind energy",0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
"Congo","Solar photovoltaic",0.000,0.112,0.112,0.112,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.003,0.015,0.018,0.020,0.040,0.057,0.064,0.062,0.522,0.565,0.565
"Cote d'Ivoire","Wind",0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
"Cote d'Ivoire","Onshore wind energy",0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
"Cote d'Ivoire","Offshore wind energy",0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
"Cote d'Ivoire","Solar photovoltaic",0.000,0.113,0.113,0.113,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.009,0.284,0.450,1.007,2.048,4.157,6.353,7.700,7.700
"Djibouti","Wind",0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,20.000,20.000
"Djibouti","Onshore wind energy",0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,20.000,20.000
"Djibouti","Offshore wind energy",0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
"Djibouti","Solar photovoltaic",0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.300,0.300,0.300,0.300,0.362,0.362,0.362,0.362,0.362,0.362,0.362
"Egypt","Wind",74.000,74.000,74.000,74.000,150.000,150.000,235.000,315.000,395.000,440.000,555.000,555.000,555.000,555.000,555.000,755.000,755.000,755.000,1130.000,1132.000,1380.000,1640.000,1642.500
"Egypt","Onshore wind energy",74.000,74.000,74.000,74.000,150.000,150.000,235.000,315.000,395.000,440.000,555.000,555.000,555.000,555.000,555.000,755.000,755.000,755.000,1130.000,1132.000,1380.000,1640.000,1642.500
"Egypt","Offshore wind energy",0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
"Egypt","Solar photovoltaic",0.100,0.500,0.600,0.600,0.600,0.600,0.600,0.700,0.900,1.300,15.000,15.000,15.000,15.000,15.000,16.000,39.000,160.000,744.200,1627.200,1623.000,1642.500,1704.000
"Equatorial Guinea","Wind",0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
"Equatorial Guinea","Onshore wind energy",0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
"Equatorial Guinea","Offshore wind energy",0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
"Equatorial Guinea","Solar photovoltaic",0.000,0.115,0.115,0.115,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.154,0.348,0.348,0.330,0.319,0.183,0.183
"Eritrea","Wind",0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.825,0.825,0.825,0.825,0.825,0.825,0.825,0.825,0.825,0.825,0.825,0.825,0.825,0.825,0.825,0.825
"Eritrea","Onshore wind energy",0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.825,0.825,0.825,0.825,0.825,0.825,0.825,0.825,0.825,0.825,0.825,0.825,0.825,0.825,0.825,0.825
"Eritrea","Offshore wind energy",0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
"Eritrea","Solar photovoltaic",0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.001,0.001,0.001,0.004,0.005,0.023,0.035,7.859,7.859,9.014,11.354,11.604,11.602,11.589,10.807,10.807
"Eswatini","Wind",0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
"Eswatini","Onshore wind energy",0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
"Eswatini","Offshore wind energy",0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
"Eswatini","Solar photovoltaic",0.000,0.003,0.003,0.009,0.048,0.115,0.152,0.216,0.246,0.275,0.617,0.735,0.761,0.778,0.804,0.830,0.930,0.930,0.930,0.930,0.930,10.930,10.930
"Ethiopia","Wind",0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,81.000,81.000,171.000,171.000,324.000,324.006,324.006,324.006,324.006,324.006,324.006,404.006
"Ethiopia","Onshore wind energy",0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,81.000,81.000,171.000,171.000,324.000,324.006,324.006,324.006,324.006,324.006,324.006,404.006
"Ethiopia","Offshore wind energy",0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
"Ethiopia","Solar photovoltaic",0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.001,0.001,0.028,0.028,0.335,1.148,3.344,9.131,9.890,14.040,12.494,12.346,12.346,20.184,21.184,21.184
"Gabon","Wind",0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
"Gabon","Onshore wind energy",0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
"Gabon","Offshore wind energy",0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
"Gabon","Solar photovoltaic",0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.100,0.100,0.100,0.100,0.100,0.500,0.500,0.500
"Gambia","Wind",0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.150,0.150,0.150,1.050,1.050,1.214,1.214,1.214,1.214,1.214,1.214,1.214,1.214,1.214
"Gambia","Onshore wind energy",0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.150,0.150,0.150,1.050,1.050,1.214,1.214,1.214,1.214,1.214,1.214,1.214,1.214,1.214
"Gambia","Offshore wind energy",0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
"Gambia","Solar photovoltaic",0.000,0.012,0.068,0.209,0.393,0.646,0.728,1.169,1.409,1.626,1.777,1.859,1.991,2.026,2.106,2.166,2.176,2.178,2.178,2.679,2.679,2.679,2.799
"Ghana","Wind",0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.020,0.020,0.020,0.020,0.020,0.020,0.020,0.020
"Ghana","Onshore wind energy",0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.020,0.020,0.020,0.020,0.020,0.020,0.020,0.020
"Ghana","Offshore wind energy",0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
"Ghana","Solar photovoltaic",0.000,0.122,0.122,0.122,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,3.139,8.134,33.885,38.078,43.764,71.423,82.105,106.434,109.763,109.763
"Guinea","Wind",0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
"Guinea","Onshore wind energy",0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
"Guinea","Offshore wind energy",0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
"Guinea","Solar photovoltaic",0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.600,0.600,0.600,0.620,0.111,0.111,0.113,0.267,0.466,12.980,13.670,14.286,14.617,14.617
"Guinea-Bissau","Wind",0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
"Guinea-Bissau","Onshore wind energy",0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
"Guinea-Bissau","Offshore wind energy",0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
"Guinea-Bissau","Solar photovoltaic",0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.312,0.312,0.312,1.169,1.169,1.169,1.169,1.169
"Kenya","Wind",0.400,0.400,0.400,0.400,0.400,0.400,0.400,0.400,0.400,0.400,5.650,5.650,5.650,5.650,5.850,26.100,26.100,26.210,336.100,336.100,336.100,436.100,436.100
"Kenya","Onshore wind energy",0.400,0.400,0.400,0.400,0.400,0.400,0.400,0.400,0.400,0.400,5.650,5.650,5.650,5.650,5.850,26.100,26.100,26.210,336.100,336.100,336.100,436.100,436.100
"Kenya","Offshore wind energy",0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
"Kenya","Solar photovoltaic",0.000,0.126,0.126,0.126,0.000,0.002,0.002,0.009,0.164,0.185,0.196,1.435,3.404,7.422,16.915,31.246,36.434,46.350,106.359,126.766,146.634,217.405,306.969
"Lesotho","Wind",0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
"Lesotho","Onshore wind energy",0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
"Lesotho","Offshore wind energy",0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
"Lesotho","Solar photovoltaic",0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.443,0.443,0.443,0.443,0.443,0.443,0.443,0.443,0.643,0.643
"Liberia","Wind",0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
"Liberia","Onshore wind energy",0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
"Liberia","Offshore wind energy",0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
"Liberia","Solar photovoltaic",0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.005,0.005,0.040,0.040,0.040,0.057,0.059,2.406,2.583,2.583,2.583,2.583,2.583
"Libya","Wind",0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
"Libya","Onshore wind energy",0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
"Libya","Offshore wind energy",0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
"Libya","Solar photovoltaic",0.000,0.000,0.000,0.200,0.700,1.200,1.700,2.200,2.700,3.200,3.700,4.200,4.900,4.900,4.900,4.900,4.900,5.110,5.110,5.110,5.111,6.333,6.333
"Madagascar","Wind",0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.015,0.015,0.095,0.172,0.177,0.177,0.177,0.177,0.177,0.177,0.177,0.177,0.177,0.177,0.177,0.177
"Madagascar","Onshore wind energy",0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.015,0.015,0.095,0.172,0.177,0.177,0.177,0.177,0.177,0.177,0.177,0.177,0.177,0.177,0.177,0.177
